model,attack,epsilon,abstention_threshold,coverage,abstention_rate,accepted_accuracy,attack_to_normal_rate
MLP,clean,0.0,0.8,0.9492104329311568,0.05078956706884319,0.7799897191457544,0.3206576794202447
MLP,FGSM,0.01,0.8,0.9450851667849539,0.05491483321504609,0.7379142025720454,0.37598379178679964
MLP,FGSM,0.03,0.8,0.8679471256210078,0.13205287437899216,0.5512853273368427,0.4078547494740123
MLP,FGSM,0.05,0.8,0.843417317246274,0.156582682753726,0.48390659514042283,0.4444011532767085
MLP,PGD,0.01,0.8,0.944375443577005,0.05562455642299502,0.7358384217942696,0.37652926050027274
MLP,PGD,0.03,0.8,0.8603619588360539,0.13963804116394607,0.43514126624046195,0.4161926283799579
MLP,PGD,0.05,0.8,0.9180713271823988,0.08192867281760119,0.3252162149103735,0.45414166601729916
LSTM,clean,0.0,0.8,0.954569653948536,0.04543034605146401,0.7720765941624838,0.3308651597817615
LSTM,FGSM,0.01,0.8,0.9229813664596274,0.07701863354037264,0.6880888290713324,0.401091192517537
LSTM,FGSM,0.03,0.8,0.90452528837622,0.09547471162377996,0.5321757896802041,0.42509742790335153
LSTM,FGSM,0.05,0.8,0.8487577639751552,0.15124223602484477,0.38853170247242697,0.4187061574434918
LSTM,PGD,0.01,0.8,0.9040816326530612,0.09591836734693882,0.6362253410540779,0.4049103663289166
LSTM,PGD,0.03,0.8,0.9019964507542148,0.09800354924578525,0.34931877428557373,0.4286827747466875
LSTM,PGD,0.05,0.8,0.929192546583851,0.07080745341614902,0.09439457601222308,0.44388152766952454
LSTM + Attention,clean,0.0,0.8,0.9472937000887311,0.05270629991126885,0.7840483327088797,0.31067809820732656
LSTM + Attention,FGSM,0.01,0.8,0.9370452528837622,0.06295474711623783,0.7134605369063964,0.3936087295401403
LSTM + Attention,FGSM,0.03,0.8,0.9005323868677906,0.09946761313220942,0.5647354419154597,0.41098986749805144
LSTM + Attention,FGSM,0.05,0.8,0.8255102040816327,0.17448979591836733,0.4086096630300425,0.4334372564302416
LSTM + Attention,PGD,0.01,0.8,0.9082519964507542,0.09174800354924584,0.6850332161000391,0.393141075604053
LSTM + Attention,PGD,0.03,0.8,0.9135314995563443,0.08646850044365573,0.4008061774561702,0.4225253312548714
LSTM + Attention,PGD,0.05,0.8,0.9179680567879326,0.08203194321206742,0.12188874389831328,0.4363990646921278
